Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42424403,"Stepping Stones (Peapod Farm, #1)",Lucy Knisley,"Knisley, Lucy",,"=""""","=""""",4,4.02,Random House Graphic,Unknown Binding,224,2020,2020,2024/06/09,2024/06/08,,,read,"我愿称之为：英文漫画版·全女·农场主题·《家有儿女》<br/>阅读过程很轻松愉快，1小时即可读完。<br/>多少也学了点新单词新句子：<br/>hideout<br/>eye roll<br/>rundown<br/>toad<br/>Tantrum<br/>chicken scratch<br/>jerkface<br/><br/>that doesn't count.<br/>I can sneak up on it.<br/>Miss drama Queen.<br/>She is such a mean, bossy, Know-it-all.<br/>He bugs me<br/>cut it out",,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.35,Scholastic Press,Hardcover,374,2008,2008,,2024/06/08,to-read,to-read (#12),to-read,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",0,4.44,Crown,Hardcover,448,2018,2018,,2024/06/08,to-read,to-read (#11),to-read,,,,0,0
61111247,Liliana's Invincible Summer: A Sister's Search for Justice,Cristina Rivera Garza,"Garza, Cristina Rivera",,"=""0593244095""","=""9780593244098""",0,4.32,Hogarth,Hardcover,320,2023,2021,,2024/06/06,to-read,to-read (#10),to-read,,,,0,0
37803655,Ida,Katharina Adler,"Adler, Katharina",,"=""3498000934""","=""9783498000936""",0,3.50,Rowohlt,Hardcover,508,2018,2018,,2024/06/06,to-read,to-read (#9),to-read,,,,0,0
36645916,RetroSuburbia,David Holmgren,"Holmgren, David",,"=""""","=""""",0,4.51,Melliodora,Paperback,500,2018,,,2024/04/30,to-read,to-read (#8),to-read,,,,0,0
51205436,Unbound: A Woman’s Guide To Power,Kasia Urbaniak,"Urbaniak, Kasia",,"=""1785042882""","=""9781785042881""",0,4.36,Vermilion,Paperback,288,2020,,,2024/04/28,to-read,to-read (#7),to-read,,,,0,0
60021476,"Listen, World!: How the Intrepid Elsie Robinson Became America’s Most-Read Woman",Julia Scheeres,"Scheeres, Julia",Allison Gilbert,"=""1541674359""","=""9781541674356""",0,4.24,Seal Press,Hardcover,352,2022,,,2024/04/13,to-read,to-read (#6),to-read,,,,0,0
23013953,Gut: The Inside Story of Our Body's Most Underrated Organ,Giulia Enders,"Enders, Giulia",Jill Enders,"=""1771641495""","=""9781771641494""",0,4.08,Greystone Books,Paperback,273,2015,2014,,2024/04/11,to-read,to-read (#5),to-read,,,,0,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.22,Gallery Books,Paperback,288,1998,1936,,2024/04/08,to-read,to-read (#4),to-read,,,,0,0
35959613,How to American: An Immigrant's Guide to Disappointing Your Parents,Jimmy O. Yang,"Yang, Jimmy O.",,"=""0306903490""","=""9780306903496""",0,4.02,Grand Central Publishing,Hardcover,240,2018,2018,,2024/04/07,to-read,to-read (#3),to-read,,,,0,0
45420335,Penny Wong: Passion and Principle,Margaret Simons,"Simons, Margaret",,"=""1760640859""","=""9781760640859""",0,4.10,Black Inc.,Paperback,320,2019,2019,,2024/04/07,to-read,to-read (#2),to-read,,,,0,0
310146,The True Confessions of Charlotte Doyle,Avi,"Avi, Avi",,"=""0380714752""","=""9780380714759""",0,3.86,Harpercollins Childrens Books,Mass Market Paperback,232,1992,1990,,2023/04/04,to-read,to-read (#1),to-read,,,,0,0
